molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL5769967,CCn1c(-c2cccnc2[C@H](C)OC)c2c3cc(ccc31)-c1csc(n1)C[C@H](NC(=O)[C@H](C(C)C)N(C)C(=O)N1CCN(C(=O)C#CC(C)(C)N(C)C)CC1)C(=O)N1CCC[C@H](N1)C(=O)OCC(C)(C)C2,active,993.288999999999,5.766700000000007,2.0,13.0,6.259637310505756
CHEMBL5827868,C=CC(=O)N1CC[C@H](C(=O)N(C)[C@H](C(=O)N[C@H]2Cc3cccc(c3)-c3ccc4c(c3)c(c(-c3cccnc3[C@H](C)OC)n4CC)CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C2=O)C(C)C)[C@@H]1C,inactive,902.1499999999995,6.652000000000008,2.0,10.0,5.0
CHEMBL6036407,C=CC(=O)N1CC[C@H](C(=O)N(C)[C@H](C(=O)N[C@H]2Cc3cccc(c3)-c3ccc4c(c3)c(c(-c3cccnc3[C@H](C)OC)n4CC3COC3)CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C2=O)C(C)C)C1,inactive,930.1599999999994,5.890000000000008,2.0,11.0,5.0
CHEMBL6015188,C=CC(=O)N1CC[C@H](C(=O)N(C)[C@H](C(=O)N[C@H]2Cc3cccc(c3)-c3ccc4c(c3)c(c(-c3cnn(C5CCN(C)CC5)c3[C@H](C)OC)n4CC)CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C2=O)C(C)C)C1,inactive,974.2609999999992,6.3317000000000085,2.0,12.0,5.0
CHEMBL5913146,C=CC(=O)N1CC(OCC(C(=O)N[C@H]2Cc3cccc(c3)-c3ccc4c(c3)c(c(-c3cccnc3[C@H](C)OC)n4CC)CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C2=O)C(C)C)C1,inactive,847.0699999999995,6.431600000000007,2.0,10.0,5.0
CHEMBL5785188,C=CC(=O)N1CC(OCC(C(=O)N[C@H]2Cc3cccc(c3)-c3ccc4c(c3)c(c(-c3cccnc3C(C)OC)n4CC)CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C2=O)C(C)C)C1,inactive,847.0699999999995,6.431600000000007,2.0,10.0,5.0
CHEMBL5778446,CCn1c(-c2cccnc2C(C)OC)c2c3cc(ccc31)-c1cccc(c1)C[C@H](NC(=O)[C@H](C(C)C)N(C)C(=O)[C@H]1CCN(C(=O)/C=C/C(F)F)C1)C(=O)N1CCC[C@H](N1)C(=O)OCC(C)(C)C2,inactive,938.1299999999995,6.898800000000008,2.0,10.0,5.0
CHEMBL5957353,C=CC(=O)N1CC[C@H](C(=O)N(C)[C@H](C(=O)N[C@H]2CC3=CCCN(C3)c3ccc4c(c3)c(c(-c3cccnc3[C@H](C)OC)n4CC)CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C2=O)C(C)C)C1,inactive,893.1429999999996,5.5806000000000076,2.0,11.0,5.0
CHEMBL5816912,CC#CC(=O)N1CC[C@@H](C(=O)N(C)[C@H](C(=O)N[C@H]2Cc3cccc(c3)-c3ccc4c(c3)c(c(-c3cccnc3[C@H](C)OC)n4CC)CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C2=O)C(C)C)C1,intermediate,900.1339999999994,6.100800000000007,2.0,10.0,5.259637310505756
CHEMBL5991588,C=CC(=O)N1CC[C@@H](C(=O)N(C)[C@H](C(=O)N[C@H]2Cc3cccc(c3)-c3ccc4c(c3)c(c(-c3cccnc3[C@H](C)OC)n4CC)CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C2=O)C(C)C)C1,intermediate,888.1229999999995,6.263500000000008,2.0,10.0,5.259637310505756
CHEMBL5866025,CCn1c(-c2cccnc2[C@H](C)OC)c2c3cc(ccc31)-c1csc(n1)C[C@H](NC(=O)[C@H](C)N(C)C(=O)[C@H]1CCN(C(=O)C#CC(C)(C)N3CCC3)C1)C(=O)N1CCC[C@H](N1)C(=O)OCC(C)(C)C2,inactive,962.230999999999,5.3856000000000055,2.0,13.0,5.0
CHEMBL5786264,C=CC(=O)NC1CN(C(=O)N(C)[C@H](C(=O)N[C@H]2Cc3nc(cs3)-c3ccc4c(c3)c(c(-c3cccnc3[C@H](C)OC)n4CC)CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C2=O)C(C)C)C1,intermediate,896.1279999999995,5.265300000000005,3.0,12.0,5.259637310505756
CHEMBL5990708,C=CC(=O)N1CCN(C(=O)N(C)[C@H](C(=O)N[C@H]2Cc3nc(cs3)-c3ccc4c(c3)c(c(-c3cccnc3[C@H](C)OC)n4CC)CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C2=O)C(C)C)CC1,active,910.1549999999994,5.609100000000006,2.0,12.0,6.259637310505756
CHEMBL5966733,C=CC(=O)N1CC[C@H](C(=O)N2CC[C@H](C)[C@H]2C(=O)N[C@H]2Cc3cccc(c3)-c3ccc4c(c3)c(c(-c3cccnc3[C@H](C)OC)n4CC)CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C2=O)C1,inactive,886.1069999999994,6.017500000000006,2.0,10.0,5.0
CHEMBL5777993,C=CC(=O)N1CC[C@H](C(=O)N2CCCCC[C@H]2C(=O)N[C@H]2Cc3nc(cs3)-c3ccc4c(c3)c(c(-c3cccnc3[C@H](C)OC)n4CC)CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C2=O)C1,inactive,907.1509999999994,6.008200000000007,2.0,12.0,5.0
CHEMBL5773347,C=CC(=O)N1CC[C@H](C(=O)N2CCCCC[C@H]2C(=O)N[C@H]2Cc3cccc(c3)-c3ccc4c(c3)c(c(-c3cccnc3[C@H](C)OC)n4CC)CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C2=O)C1,inactive,900.1339999999994,6.551700000000007,2.0,10.0,5.0
CHEMBL5946874,C=CC(=O)N1C[C@@H](C)[C@H](C(=O)N(C)[C@H](C(=O)N[C@H]2Cc3cccc(c3)-c3ccc4c(c3)c(c(-c3cccnc3[C@H](C)OC)n4CC)CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C2=O)C(C)C)C1,inactive,902.1499999999994,6.509500000000008,2.0,10.0,5.0
CHEMBL5963533,C=CC(=O)N1CC[C@H](C(=O)N(C)[C@H](C(=O)N[C@H]2Cc3cc(C)cc(c3)-c3ccc4c(c3)c(c(-c3cccnc3[C@H](C)OC)n4CC)CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C2=O)C(C)C)C1,inactive,902.1499999999994,6.5719200000000075,2.0,10.0,5.0
CHEMBL5913419,CCn1c(-c2cccnc2[C@H](C)OC)c2c3cc(ccc31)-c1cccc(c1)C[C@H](NC(=O)[C@H](C(C)C)N(C)C(=O)[C@H]1CCN(C(=O)C#CC3(N(C)C)CN(C)C3)C1)C(=O)N1CCC[C@H](N1)C(=O)OCC(C)(C)C2,intermediate,998.282999999999,5.3267000000000095,2.0,12.0,5.259637310505756
